Name,Color,ExternalId
Volvo,Mauv,cb3183c9
Suzuki,Crimson,07124676
Chevrolet,Mauv,eb33c909
Ford,Red,4b40b761
Dodge,Yellow,b39e8fe7
Chevrolet,Indigo,b0be5039
Infiniti,Fuscia,7ad88485
Chevrolet,Maroon,6c48ceaf
Nissan,Orange,97dbda76
Smart,Purple,3e906f9f7
Chevrolet,Yellow,bc53a4dc
Ford,Goldenrod,7e4eeb8e
Chevrolet,Khaki,53125c9c
Dodge,Aquamarine,910c46bc
Mercedes-Benz,Crimson,499effff
Subaru,Orange,d343cdab
Maserati,Maroon,9d435f8c
Toyota,Indigo,e0c463246
Pontiac,Indigo,891dbec6
Chevrolet,Blue,202e1107
